order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state,product_id,seller_id,price,shipping_charges,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
U7q978HZTRFd,TyZWRsDlcSOO,delivered,2018-02-04 19:24:44,2018-02-04 19:35:28,2018-02-17 11:17:40,2018-03-12,9445,uberlandia,MG,x2473gHktSB1,VjbLhhR5I7ly,465.52,13.28,1,credit_card,4,266.68,toys,900.0,25.0,12.0,38.0
yuMpbaOOLYep,opE3fvxI4Pjw,delivered,2018-02-13 21:34:20,2018-02-14 21:30:31,2018-02-26 16:25:50,2018-03-15,1121,mineiros,GO,oRWowdRxzkkE,Ek6ADNUZ7ej9,17.68,30.67,1,credit_card,6,178.23,toys,300.0,20.0,9.0,15.0
PuZAzzCwzXTh,mW15ia0D3xTT,delivered,2017-11-16 18:03:02,2017-11-16 18:15:46,2017-11-30 16:57:02,2017-12-14,29550,jaboatao dos guararapes,PE,wdV7yJzaz3Su,WTbhLip6Y9IF,20.9,105.7,1,credit_card,5,57.16,toys,4338.0,17.0,12.0,14.0
9UBGkH6ByG8s,OBIvPMn1ihZc,delivered,2018-01-05 11:07:51,2018-01-09 07:16:54,2018-01-12 21:59:21,2018-01-29,2012,sao paulo,SP,dAz11YkQkoue,TuPm19CMKvrM,59.21,32.34,1,wallet,1,90.89,health_beauty,100.0,20.0,15.0,15.0
g5SWhnhIN4QX,XnaHr0irlgQn,delivered,2018-05-14 18:38:17,2018-05-14 18:50:08,2018-05-17 19:22:00,2018-05-22,40260,sao caetano do sul,SP,b3rlK16xDHsu,jwIWdBXPnQgF,10.35,102.77,1,credit_card,9,308.77,housewares,6500.0,63.0,14.0,44.0
TYTfQ23J8NxH,VFNLdh9wjvzb,delivered,2018-05-15 13:01:12,2018-05-15 13:30:44,2018-05-18 16:44:32,2018-06-12,21511,siriji,PE,lzXFCQZh59Dl,5FvGdji6skxT,475.0,95.31,1,credit_card,7,63.24,toys,150.0,17.0,8.0,14.0
ud9HuxBm0qrj,QcWNmoJVIxx1,delivered,2018-07-12 09:21:49,2018-07-12 09:35:12,2018-07-23 22:28:25,2018-08-14,2913,sao paulo,SP,XQnvUd50SsJQ,KMUPLmVqQPcw,849.5,63.92,1,credit_card,5,76.36,watches_gifts,50.0,16.0,8.0,16.0
w611q972JWJH,jkWYZJfLe5gp,delivered,2018-05-14 10:44:19,2018-05-14 11:14:11,2018-05-21 15:41:47,2018-06-07,4929,belo horizonte,MG,unxOuYd3gJgE,coi9xkdo66JI,33.41,20.49,1,credit_card,8,63.91,toys,532.0,19.0,13.0,15.0
CwuNHskkAFzH,ZL9CoZJy7flq,delivered,2017-04-11 19:27:44,2017-04-11 19:35:12,2017-05-02 13:41:23,2017-05-18,78746,barcarena,PA,l9QNKFFF1AO4,oI8R7WsNWWBc,419.9,59.0,1,credit_card,5,379.35,computers_accessories,200.0,41.0,2.0,29.0
zYcpQRoCejbE,drDGrLqgYy6O,delivered,2018-01-19 07:27:23,2018-01-20 13:41:36,2018-01-31 14:35:00,2018-02-20,7240,santa rosa de lima,SC,G1HIRdWg2aeP,DAXcLJj7W7BQ,802.14,38.94,1,voucher,1,217.3,sports_leisure,1064.0,24.0,20.0,19.0
10HAvfCuejo5,Zpzy3cCOWOAc,delivered,2018-04-06 15:34:59,2018-04-06 15:50:13,2018-04-12 01:21:00,2018-04-23,86037,barueri,SP,jgWbM0NDp5yH,VbREMx1xh7Eb,20.3,11.39,1,credit_card,1,75.88,toys,2000.0,26.0,17.0,19.0
FiiXe26Pf4jo,WdW4cvRVHAdG,delivered,2017-09-17 22:24:28,2017-09-17 23:20:29,2017-09-26 17:35:15,2017-10-17,23970,sao miguel do anta,MG,O3WZb6ufZ65Q,2cg7E5j1pzxq,172.1,71.22,2,voucher,1,702.18,toys,3450.0,40.0,12.0,40.0
G2JxLCqqhwZd,dYMw2P8mDFRA,delivered,2017-09-28 14:14:37,2017-09-28 14:28:20,2017-10-23 16:32:37,2017-10-25,71993,palmas,TO,ssZQDTdv1ISb,Zj36u9uWzYUi,13.7,41.87,1,credit_card,6,457.95,toys,400.0,34.0,4.0,22.0
7UWwgu4wPkKO,4Vul7cSVSEfw,delivered,2018-08-15 09:48:31,2018-08-15 10:04:07,2018-08-28 22:08:33,2018-09-06,16230,maracanau,CE,Ez9srfz3jOkb,T5TAziawiIyq,31.46,7.66,1,credit_card,3,990.45,toys,1850.0,19.0,16.0,17.0
nOp3zopwXJaw,mySpxhMjVygx,delivered,2017-06-17 14:39:09,2017-06-17 14:50:21,2017-07-01 10:39:42,2017-07-13,15102,vila velha,ES,y953EyMHRE1A,eV7Woul7454D,91.0,42.02,1,credit_card,10,309.4,toys,760.0,33.0,13.0,14.0
MaQkzFrbilaD,sRKWAmuEo4oc,delivered,2018-08-18 15:25:36,2018-08-21 04:35:26,2018-08-27 17:30:28,2018-09-05,12285,brasilia,DF,IJJL2iT7InlD,m6IJZtqbZBZn,58.1,38.92,1,wallet,1,230.04,toys,450.0,16.0,4.0,20.0
OUp5IOMRh16l,Ol0LVZL4QTMJ,delivered,2017-08-20 14:46:46,2017-08-22 04:10:23,2017-08-29 14:46:06,2017-09-11,33935,guarulhos,SP,62brBPCqLK4e,yHsOFiqVrV1u,106.74,15.4,1,wallet,1,210.11,toys,4400.0,39.0,30.0,29.0
HeCKMRpIfkGt,tnhgiNXnji90,delivered,2017-05-02 16:01:55,2017-05-04 02:51:00,2017-05-22 18:03:52,2017-06-16,13206,rio branco,AC,GMEXUrKM8Wty,ItYhqrkUww7D,42.11,24.18,1,wallet,1,364.82,toys,3407.0,28.0,22.0,23.0
5OcSpg7OLTAd,xgmzXmEdct7K,delivered,2017-04-11 14:30:03,2017-04-12 14:42:37,2017-04-20 12:24:13,2017-05-15,22245,sao sebastiao do paraiso,MG,a9bkBmnUFeXN,EZZCNVOVjDlq,142.2,2.46,1,credit_card,1,78.89,toys,200.0,18.0,10.0,18.0
SG2i74yw8eNJ,QnlcSwej1mTN,canceled,2018-03-01 18:03:33,2018-03-01 18:15:44,,2018-03-23,49100,carangola,MG,nldORVKY5RRc,TuPm19CMKvrM,115.92,52.64,1,credit_card,4,55.78,health_beauty,400.0,30.0,15.0,20.0
2AvhmiWkL7UU,GOtZDhwJZi0i,delivered,2018-02-07 16:44:35,2018-02-08 07:49:38,2018-03-22 17:08:28,2018-03-15,5081,campos dos goytacazes,RJ,Mhf16vn22TPg,lbmduirZT5rh,139.33,83.09,1,wallet,1,19.46,toys,213.0,15.0,7.0,11.0
wsh9kPmoPZYY,qMPV80yOsjD9,delivered,2017-12-23 14:11:57,2017-12-27 04:14:52,2018-02-08 18:53:28,2018-01-30,37554,porto alegre,RS,pdRmYEfbMGKc,XePbD5Ocm6Yk,43.21,8.06,1,wallet,1,311.51,computers,13700.0,27.0,50.0,53.0
PJuORFT8jzr8,YGh99cwMHvmi,delivered,2018-03-09 17:23:29,2018-03-09 17:35:29,2018-03-21 22:58:33,2018-03-21,73804,sao paulo,SP,7b6Ed2fWIBom,8cMMpAAFEsxE,142.2,34.33,1,credit_card,1,35.9,toys,175.0,22.0,13.0,17.0
niXCLWh5jkuP,AFTryboAyPgw,delivered,2018-06-24 18:51:01,2018-06-24 19:20:07,2018-06-26 17:33:40,2018-07-05,94120,americana,SP,9pxUnFNeFSgF,WAAcSp6sVIZZ,62.8,61.32,1,debit_card,1,1058.78,toys,340.0,19.0,22.0,17.0
2GDCC4vhEd4V,5EPQfE0XkGxF,delivered,2018-03-28 19:28:24,2018-03-29 19:27:51,2018-04-16 13:32:16,2018-04-16,4458,mirandopolis,SP,dVkUygMCOSIC,ZsDn106jXrgr,410.0,38.19,1,credit_card,3,112.05,toys,6600.0,45.0,25.0,35.0
EB1U8VKS4yyj,JwMgtavQ1QTI,delivered,2017-09-09 11:45:33,2017-09-10 11:55:13,2017-09-19 22:17:46,2017-09-28,99030,belo horizonte,MG,Qq3ZO9dFikWd,yWBcmXHhf5dK,12.35,38.37,1,credit_card,8,262.42,toys,850.0,25.0,15.0,15.0
Ckvv8howLnSu,DMyL8n2eF4Kk,delivered,2018-06-13 20:42:34,2018-06-13 21:00:19,2018-06-23 14:21:30,2018-07-20,4068,rio de janeiro,RJ,nVbKYFc7b9xM,y2AK4LhYomMd,71.67,18.95,1,credit_card,7,75.24,toys,10300.0,39.0,49.0,42.0
vj2FgoujdTZm,XMtVS10bNQf2,delivered,2018-07-25 21:44:59,2018-07-25 22:15:07,2018-08-20 11:52:13,2018-08-08,28390,hortolandia,SP,g78JTyiYzjJV,keIZJltcHwUT,107.87,47.23,1,credit_card,10,386.88,toys,13800.0,60.0,32.0,42.0
JxRt2z6BQIMg,H950O2q3QWFX,delivered,2017-11-29 15:52:39,2017-12-04 23:31:03,2018-01-03 19:38:56,2018-01-24,3681,laranjal do jari,AP,KELMueSbry6z,r2e5TlYWDPBS,11.8,67.68,1,credit_card,2,55.12,toys,150.0,20.0,30.0,20.0
bwHpGbf3RwHU,uLQp0H9eKDX3,delivered,2018-03-14 14:00:16,2018-03-14 14:40:22,2018-04-07 01:41:30,2018-04-12,21843,recife,PE,Sx0Y6y9VA71g,qMSMJjxggK58,33.41,142.31,1,credit_card,10,210.04,stationery,2650.0,48.0,28.0,40.0
EzoEEGEOoQgo,T6cEbTKglRMz,delivered,2018-02-28 12:04:20,2018-02-28 12:15:34,2018-03-23 19:56:39,2018-03-23,3008,belo horizonte,MG,89oT9Pz9eQaA,7OKhjPME8ZK3,274.49,24.23,1,credit_card,4,303.17,toys,150.0,16.0,13.0,14.0
Xqs6V0IDS5SZ,hsVoxxYzvEyE,delivered,2018-03-14 22:08:40,2018-03-16 03:45:35,2018-03-23 14:52:31,2018-04-10,87860,lajeado,RS,DbGnL2x1lHkq,73jr4z4JJLzT,395.6,39.75,1,wallet,1,279.54,toys,200.0,16.0,5.0,11.0
TBY2TgIVgHqF,cXRv1RbTxmYK,delivered,2017-03-08 16:06:00,2017-03-08 16:06:00,2017-04-07 12:23:52,2017-04-10,39363,primavera do leste,MT,GarjhCi3FPLP,iAHv4pnPzV5r,107.63,116.94,1,debit_card,1,400.64,food,3350.0,20.0,21.0,20.0
i27eurWZ7uHH,rff1X2YtZDcj,delivered,2017-01-18 21:08:18,2017-01-19 21:10:20,2017-01-26 21:57:38,2017-02-28,92440,sao bernardo do campo,SP,gyCm1QS60Z2r,2a07LobkzHUx,127.77,55.54,1,voucher,1,289.55,toys,500.0,40.0,15.0,40.0
cDAnhW4GVUfG,0KyvIPMpzdCB,delivered,2018-08-11 07:22:12,2018-08-13 10:10:22,2018-08-21 20:41:52,2018-08-30,11082,rio de janeiro,RJ,21mDtUST4dWx,w2pWYwCYeks1,106.74,16.06,1,credit_card,3,279.15,health_beauty,380.0,17.0,11.0,13.0
kjcsYgQx6LP0,H5s9P5ZE0KD7,delivered,2018-05-31 15:33:14,2018-05-31 15:51:47,2018-06-05 22:08:23,2018-06-26,62860,sao paulo,SP,yGBBpVVAr5Jy,CHcF5bHLa7jn,116.11,34.33,1,credit_card,3,50.5,toys,150.0,17.0,9.0,12.0
uWyr05O3bWLv,9ZlQDZjCxYEm,delivered,2018-06-12 22:39:32,2018-06-12 22:59:48,2018-06-15 19:58:42,2018-06-21,50050,sorocaba,SP,f6Y0uTZC7KsR,5YpZRhwM0e0V,60.99,35.96,1,credit_card,2,35.15,toys,1017.0,37.0,5.0,37.0
VUk0H3dIsWDA,QtY8jnzebhht,delivered,2018-02-01 14:19:56,2018-02-02 02:54:21,2018-02-19 12:59:09,2018-03-09,3896,ibiruba,RS,BG2dWhADJSlO,AHG0TE6bRNNY,30.7,55.51,1,wallet,1,22.99,toys,77.0,25.0,13.0,14.0
CqrAR6LatHH3,un7lAR4X61gN,delivered,2017-07-10 13:33:18,2017-07-10 13:45:10,2017-07-14 19:51:59,2017-07-27,9180,sorocaba,SP,EG4wDSpFyTth,TuPm19CMKvrM,319.29,38.84,1,credit_card,9,159.42,health_beauty,250.0,22.0,10.0,18.0
OMh8XZsKdgAD,RoTZPWkcB8Oh,delivered,2018-02-28 14:08:27,2018-02-28 15:00:36,2018-03-16 20:03:31,2018-03-20,37860,rio de janeiro,RJ,ro08JPncYzLh,r7VxefoTVHbb,4099.99,40.64,1,credit_card,1,30.27,garden_tools,1650.0,30.0,22.0,30.0
tGYlTyOV4wvc,dM2ENkwmFZwc,delivered,2017-03-22 15:35:53,2017-03-22 15:35:53,2017-04-03 15:03:24,2017-04-24,39406,bezerros,PE,Ee60EscucY7b,PHpgfaOYXNWz,188.8,80.87,1,credit_card,3,185.07,toys,1800.0,35.0,26.0,26.0
7fhVmKQZ02Pu,kw6pW19zI9TS,delivered,2017-08-12 09:48:15,2017-08-12 10:04:27,2017-08-18 10:45:43,2017-09-14,79230,russas,CE,cNuyn0RdjQPn,WG2pVERAEzeW,53.99,77.47,1,credit_card,6,54.05,luggage_accessories,950.0,46.0,10.0,33.0
SOZirN2mAkEG,QVNcuWXiu7a0,delivered,2018-02-06 18:23:16,2018-02-06 18:54:55,2018-03-05 11:08:15,2018-03-12,3880,porto alegre,RS,y2MAnns4G96G,7OKhjPME8ZK3,95.03,4.34,1,credit_card,3,146.56,computers_accessories,207.0,19.0,11.0,14.0
CEf07BDMylRJ,iiwyLLpOM8Da,delivered,2018-06-13 11:33:32,2018-06-13 12:32:50,2018-06-23 10:56:16,2018-07-12,40455,esmeraldas,MG,fQUZyE5jDTRO,2f1BJeldifHF,245.0,65.07,1,credit_card,5,45.86,toys,2575.0,18.0,30.0,18.0
qufRxlOLUVxg,JvdVFSp2m82i,delivered,2018-06-28 23:47:44,2018-06-29 00:10:20,2018-07-02 20:52:34,2018-07-12,63125,sao paulo,SP,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,113.01,1,credit_card,1,48.05,toys,250.0,16.0,2.0,11.0
zfa3DILqYFRO,4EXSNikWBBoA,delivered,2017-05-13 17:29:17,2017-05-13 17:35:17,2017-05-23 15:27:59,2017-06-02,71919,belo horizonte,MG,JyBhiUYADnbo,V8Stg8HdXCTe,395.6,48.35,1,credit_card,1,315.12,toys,250.0,16.0,7.0,11.0
Fxm94ZbKHLY6,EETcQjhYLZsA,delivered,2018-04-30 09:32:43,2018-04-30 09:50:28,2018-05-10 15:24:37,2018-05-29,11090,divinopolis,MG,Db9Fy0A0f8Le,RKad98cTxhSb,42.79,65.59,1,credit_card,5,163.22,toys,1850.0,40.0,10.0,30.0
4L8GLOaNxBET,QcU6EWRZF9SB,delivered,2018-02-07 21:33:54,2018-02-07 22:35:27,2018-02-16 00:22:19,2018-03-12,4204,canoas,RS,FfeUwHiAgOED,Cyl6PGvB25KG,42.89,20.9,1,credit_card,3,656.16,toys,250.0,51.0,15.0,15.0
5IMn8gnl1Eiz,JRAHS3tZWfiP,delivered,2018-06-14 16:03:52,2018-06-15 02:58:50,2018-06-20 14:08:50,2018-06-26,5085,campinas,SP,MBdGC5wyj41Y,WAAcSp6sVIZZ,57.88,4.09,1,wallet,1,191.41,toys,400.0,16.0,19.0,11.0
UyH2yVHEG4ZT,KbZyn0cGvrDo,delivered,2017-07-27 17:49:13,2017-07-27 18:03:33,2017-08-14 14:07:51,2017-08-25,4467,rio de janeiro,RJ,Biwi1BNtUB7l,r7VxefoTVHbb,692.0,46.76,1,credit_card,2,665.87,toys,1500.0,30.0,22.0,30.0
pteHjRq1zRrg,sBXBf1quHnWn,delivered,2018-04-03 10:38:15,2018-04-04 03:10:17,2018-05-03 21:02:44,2018-04-19,8771,maua,SP,57UqRn9JRarI,xbr8ZnHWrWgb,38.94,3.51,1,wallet,1,235.27,toys,129.0,18.0,11.0,14.0
wJdeaCLONh3P,t5FZpgIxJrxB,delivered,2018-05-07 18:58:49,2018-05-07 19:15:30,2018-05-15 00:28:52,2018-05-23,47800,sao paulo,SP,WmSvr62zpOrt,cggBY4u0xwoI,56.89,58.65,1,credit_card,1,221.14,toys,5350.0,40.0,20.0,40.0
oEyQwONICAnm,EK0FNE6uFhsZ,delivered,2017-11-16 18:51:09,2017-11-16 19:16:17,2017-11-21 22:07:49,2017-12-07,29199,curitiba,PR,NhafSxajSrvB,vLWjzgEuN5Xb,95.03,9.23,1,credit_card,1,52.56,toys,3900.0,65.0,25.0,25.0
0yR42pLGWdkd,IfjgPoYGPaFY,delivered,2018-04-24 14:39:42,2018-04-24 18:16:16,2018-05-10 16:54:43,2018-05-18,89506,maceio,AL,YCJlOAXzSK2U,tIDK1g2TMADE,139.98,49.63,1,credit_card,1,151.89,home_appliances_2,8850.0,45.0,33.0,35.0
GSBr1Unm2eQM,Vlk6jKDJsXmK,delivered,2017-07-18 20:04:25,2017-07-18 20:15:15,2017-07-24 18:17:48,2017-08-09,2519,rio de janeiro,RJ,QnWuLMJbKwxJ,ruq0u2ZpAMDr,849.5,8.85,1,credit_card,10,89.24,toys,1600.0,46.0,3.0,34.0
vUmnmSjNUY92,ihFaHMJrRco0,delivered,2018-08-21 17:44:39,2018-08-21 17:55:18,2018-08-29 16:54:38,2018-08-30,30286,sao paulo,SP,Ix75PS0R9lcD,luzDO2kXE6wp,355.9,131.63,1,credit_card,4,60.64,health_beauty,300.0,22.0,5.0,15.0
K0hpe3F3gCZB,CDY57oi172sM,delivered,2017-11-23 15:01:36,2017-11-23 15:13:31,2017-12-16 18:19:01,2017-12-20,79070,palmas,PR,5sxPBzNQVjrU,cYJkVT6fDynQ,0.85,38.66,1,credit_card,2,195.13,toys,1000.0,33.0,16.0,20.0
eIegLKhRQgYf,7RftqVcrqTLP,delivered,2018-05-10 18:46:19,2018-05-11 09:40:13,2018-05-21 16:49:52,2018-06-06,59490,caxias do sul,RS,cOXDfkff9ZQP,3mO6GyZzHTGP,126.97,84.58,4,voucher,1,193.31,toys,1900.0,26.0,10.0,20.0
hdLyHofazJ62,FXjgRf7gzYw4,delivered,2018-04-27 00:04:35,2018-04-27 00:15:22,2018-05-03 18:51:57,2018-05-17,44340,sao paulo,SP,CthGk4MUhtwz,OfafuCsnlLjb,509.99,22.18,2,voucher,1,199.42,toys,600.0,17.0,17.0,60.0
SlsZmCNQlBJp,w3YzPRry3fLe,delivered,2018-03-08 16:01:39,2018-03-09 02:31:27,2018-04-20 20:58:44,2018-04-10,13806,rio de janeiro,RJ,JGMr0GHn80XX,yGbPyLPc8PmT,1899.0,12.28,1,wallet,1,2784.16,toys,200.0,16.0,2.0,11.0
5R0q3WH0INoM,9mdsg4McU6W2,delivered,2017-08-26 08:06:34,2017-08-26 08:15:09,2017-09-09 14:27:39,2017-09-22,44075,vila velha,ES,2tbOAdXFBcgM,2cg7E5j1pzxq,125.46,103.22,1,credit_card,10,104.89,toys,3450.0,90.0,12.0,20.0
e90t7HNxWR1p,d3ZwWA2rG4V5,delivered,2018-04-01 18:05:00,2018-04-01 18:15:17,2018-04-10 02:32:19,2018-04-30,59146,itapevi,SP,odgrVS8Yq2fd,OdnRCxXEzI4n,193.25,31.5,1,credit_card,2,93.85,toys,2950.0,20.0,20.0,20.0
TZT4cM22OuAb,qKHkrea1S2Vt,delivered,2017-11-08 15:37:57,2017-11-09 05:31:37,2017-11-17 17:37:53,2017-11-22,3041,sao paulo,SP,uLKJskCSlnmJ,l1pYW6GBnPMr,779.9,32.34,1,wallet,1,128.01,telephony,350.0,17.0,4.0,12.0
L7ndJSVr4dlh,2eG0bjHnqUmV,delivered,2017-04-26 10:13:13,2017-04-26 10:22:44,2017-05-05 07:57:33,2017-05-29,59299,custodia,PE,97I7i6BQRjqd,AHG0TE6bRNNY,98.6,59.0,1,credit_card,1,197.82,toys,200.0,28.0,10.0,13.0
Uc5xueeUmCZv,BNFrH2vCIYxb,delivered,2017-05-24 11:15:13,2017-05-24 11:30:11,2017-06-01 17:15:46,2017-06-16,50070,cordeiropolis,SP,XFApqTRXHXw2,mGXYPuvjUjtM,399.2,47.55,1,credit_card,1,343.54,sports_leisure,100.0,16.0,13.0,16.0
CsiulvmavoUf,xj2XFigC0tf9,delivered,2017-08-01 07:48:50,2017-08-02 11:22:35,2017-08-04 13:42:09,2017-08-15,48901,diadema,SP,KfrSLJSzm4X6,pxyYUYfBOHRj,137.88,61.32,1,credit_card,2,1143.22,toys,200.0,30.0,20.0,40.0
lYestEXIR98F,1bZAowgvIWbq,delivered,2018-08-16 10:15:45,2018-08-17 10:10:15,2018-08-23 16:36:43,2018-09-04,40735,sao paulo,SP,ePyDOBUvUhLF,14AIqEsZssES,56.89,60.01,1,credit_card,9,382.27,toys,5200.0,50.0,23.0,27.0
CxTfD2IBql7K,VDwyumUFx2JB,canceled,2017-09-01 22:43:44,2017-09-01 22:55:23,,2017-09-14,4826,sao paulo,SP,81lwijAv6d9X,BFS9XJPapWv0,189.99,6.08,1,credit_card,1,128.19,sports_leisure,800.0,25.0,25.0,25.0
Mk6lM0wRamUP,ybF8DzTfHPxy,delivered,2017-11-21 21:31:09,2017-11-23 02:47:29,2017-12-23 16:13:34,2017-12-12,86701,rio de janeiro,RJ,qFK53qF5JsXT,4YvZWfI3A03T,319.29,56.65,1,wallet,1,817.03,toys,1850.0,40.0,5.0,30.0
l9R4MzGjKUI1,U7AFbxkLBlfe,delivered,2017-09-01 08:18:39,2017-09-02 02:55:18,2017-09-20 21:22:17,2017-09-27,13043,orizona,GO,FYgU0djn0euU,B5hWl6a5gwY5,548.35,47.55,1,wallet,1,53.8,watches_gifts,100.0,20.0,7.0,15.0
tpMDE7BM8Q7V,qmRBX73AuChL,delivered,2017-12-10 22:05:44,2017-12-10 23:08:49,2017-12-15 16:33:00,2017-12-28,95115,volta redonda,RJ,isehBCyX595I,5Ja2lH0N2OZt,62.19,42.51,1,credit_card,4,161.46,sports_leisure,6300.0,42.0,20.0,32.0
SY5hDB8qtqzm,LP1BuPznMXbZ,delivered,2017-03-20 20:52:28,2017-03-20 20:52:28,2017-04-03 11:23:03,2017-04-24,1536,sao paulo,SP,CpeCg2UGCL6P,AvTLykupHOIB,2600.0,55.54,1,wallet,1,211.89,toys,250.0,40.0,4.0,30.0
17Kopz3p0P23,JG0QZbnGHpQT,delivered,2018-01-06 16:58:41,2018-01-09 07:17:33,2018-01-16 13:42:51,2018-02-14,7081,jaguarao,RS,ZSRa7omH4TO9,8CQ9epWunOJD,399.2,38.66,1,wallet,1,329.47,toys,833.0,23.0,14.0,14.0
cdi6RosMRD9f,jeFY2jIafFlJ,delivered,2017-11-26 21:33:25,2017-11-26 21:53:43,2017-12-12 19:33:36,2017-12-20,13077,patos de minas,MG,cBN56yE7YJYq,ceLyg2V6lyl7,89.97,38.66,1,credit_card,1,1040.01,health_beauty,180.0,16.0,13.0,11.0
oh8lrHWBb0FQ,YokOgNM3p2GO,delivered,2017-02-11 22:44:15,2017-02-11 22:55:16,2017-02-24 02:46:07,2017-03-14,89900,santo andre,SP,p9wdcQzzcqAh,vDmtF6gSG8GP,820.05,2.46,1,credit_card,1,46.53,toys,400.0,16.0,2.0,11.0
KevztBFV9H8a,XIsqtQz3v9xK,delivered,2017-08-01 13:11:47,2017-08-01 13:25:13,2017-08-07 18:28:38,2017-08-15,27262,sao vicente,SP,UgkSjxoiV9Ev,UOGIrJtSldvd,252.99,50.83,1,credit_card,4,222.98,toys,2600.0,50.0,10.0,30.0
u4Xz8wMUBmTm,3hKERFrXmoDR,delivered,2018-05-07 10:17:11,2018-05-07 17:30:51,2018-05-10 20:20:57,2018-05-23,26225,ribeirao preto,SP,SIv0splfzJ43,8CQ9epWunOJD,329.22,7.52,1,credit_card,1,578.82,toys,150.0,16.0,16.0,12.0
So54YDOyHvA9,Re92Gmj7vOgH,delivered,2018-06-19 23:27:06,2018-06-19 23:59:41,2018-06-21 17:38:24,2018-07-05,13382,sao paulo,SP,KIYt8ODpiQyI,TBkUw9PKrND5,75.6,15.95,1,credit_card,1,77.35,toys,550.0,16.0,7.0,11.0
joOaqVfHWvll,fiTsTAiND693,shipped,2018-08-05 07:21:56,2018-08-05 07:35:08,,2018-08-09,85200,osasco,SP,gYNFugtulfL7,2jTASjIU2rIf,453.7,18.18,1,credit_card,2,192.74,perfumery,400.0,20.0,6.0,20.0
